,id,topic_id,timestamp,data
39,40,3,1643988691093325557,std_msgs.msg.Int32(data=15)
40,41,6,1643988691126073757,"rosgraph_msgs.msg.Clock(clock=builtin_interfaces.msg.Time(sec=6, nanosec=99000000))"
41,42,6,1643988691227883372,"rosgraph_msgs.msg.Clock(clock=builtin_interfaces.msg.Time(sec=6, nanosec=108800000))"
42,43,6,1643988691326975812,"rosgraph_msgs.msg.Clock(clock=builtin_interfaces.msg.Time(sec=6, nanosec=118700000))"
43,44,6,1643988691427538529,"rosgraph_msgs.msg.Clock(clock=builtin_interfaces.msg.Time(sec=6, nanosec=128800000))"
44,45,6,1643988691527831698,"rosgraph_msgs.msg.Clock(clock=builtin_interfaces.msg.Time(sec=6, nanosec=138900000))"
45,46,6,1643988691628796776,"rosgraph_msgs.msg.Clock(clock=builtin_interfaces.msg.Time(sec=6, nanosec=148900000))"
46,47,6,1643988691729384842,"rosgraph_msgs.msg.Clock(clock=builtin_interfaces.msg.Time(sec=6, nanosec=159000000))"
47,48,6,1643988691829935065,"rosgraph_msgs.msg.Clock(clock=builtin_interfaces.msg.Time(sec=6, nanosec=169100000))"
48,49,1,1643988691898718858,"rcl_interfaces.msg.Log(stamp=builtin_interfaces.msg.Time(sec=1643988691, nanosec=898201178), level=20, name='dc_motor', msg=""Publishing velocity: '24.335480'"", file='/home/matheuswagner/repos/adaptive-cubesat-adcs/cubesat-simulation/src/cubesat_gazebo/plugins/dc_motor_plugin/src/dc_motor_plugin.cc', function='Publish', line=67)"
49,50,1,1643988691898976129,"rcl_interfaces.msg.Log(stamp=builtin_interfaces.msg.Time(sec=1643988691, nanosec=898333423), level=20, name='dc_motor', msg=""Publishing current: '1.678919'"", file='/home/matheuswagner/repos/adaptive-cubesat-adcs/cubesat-simulation/src/cubesat_gazebo/plugins/dc_motor_plugin/src/dc_motor_plugin.cc', function='Publish', line=71)"
50,51,4,1643988691899046790,std_msgs.msg.Float32(data=24.335479736328125)
51,52,5,1643988691899106649,std_msgs.msg.Float32(data=1.678918719291687)
52,53,6,1643988691930856264,"rosgraph_msgs.msg.Clock(clock=builtin_interfaces.msg.Time(sec=6, nanosec=179200000))"
53,54,6,1643988692030957065,"rosgraph_msgs.msg.Clock(clock=builtin_interfaces.msg.Time(sec=6, nanosec=189200000))"
