velocityx,velocityy,velocityz, attitudew,attitudex,attitudey,attitudez,error attitudew,error attitudex,error attitudey,error attitudez, filtered velocityx,filtered velocityy,filtered velocityz, filtered attitudew,filtered attitudex,filtered attitudey,filtered attitudez, sliding variablex,sliding variabley, sliding variablez, control signalx,control signaly,control signalz 
0.0016125,-0.00304563,-0.0148643,0.99994,-0.000704387,0.0103321,-0.00360996,-0.643171,0.166078,-0.738922,-0.112884,0.00243701,-0.00412983,-0.0159167,1,-6.26976e-05,0.000130917,9.65694e-05,-4.9799,22.1635,3.3706,5.56077e-07,-2.02321e-07,-1.30196e-05
-0.00720304,-0.000631405,0.0119465,0.999992,0.00234221,0.002153,-0.00253466,-0.643174,0.166084,-0.73892,-0.112876,-0.00789364,-0.000380765,0.0139422,1,-6.01287e-05,0.000129646,8.64018e-05,-4.9904,22.1672,3.40022,-9.6975e-06,3.5086e-06,1.65343e-05
-0.0171545,-0.0109786,0.00847777,0.999706,-0.0173081,-0.016963,-0.000918034,-0.643177,0.166086,-0.738914,-0.112891,-0.0178245,-0.0117448,0.00808322,1,-7.30446e-05,0.000120979,9.36461e-05,-5.00039,22.1557,3.39483,-2.00158e-05,-8.1154e-06,1.08926e-05
0.0016894,-0.00995354,-0.00962146,0.999987,-0.00164764,0.00102349,-0.00472201,-0.64318,0.16609,-0.738909,-0.112902,0.00311234,-0.00982316,-0.0109128,1,-8.3708e-05,0.000114896,9.57962e-05,-4.9796,22.1575,3.37614,6.01097e-07,-6.37628e-06,-8.03887e-06
0.0129924,-0.00419575,-0.000267219,0.999958,-0.003102,-0.0077807,-0.00372336,-0.643188,0.166095,-0.738902,-0.112898,0.0137192,-0.00378195,0.000515663,1,-8.34187e-05,0.000105676,8.79151e-05,-4.96913,22.1633,3.38745,1.12167e-05,-6.11662e-07,3.15312e-06
-0.0289802,-0.00129408,-0.00613564,0.99978,0.0205454,0.00202746,-0.00369019,-0.643191,0.166085,-0.738903,-0.112884,-0.0321456,-0.00110964,-0.00662871,1,-6.61193e-05,0.000104477,8.64293e-05,-5.01469,22.166,3.3799,-3.41292e-05,2.02468e-06,-4.03584e-06
-0.00677526,-0.0231088,-0.00205578,0.999951,-0.0071564,0.00302267,0.00617322,-0.643188,0.166099,-0.738901,-0.112899,-0.00488156,-0.0247519,-0.00171442,1,-8.72475e-05,0.000105212,8.5561e-05,-4.98785,22.1423,3.38527,-7.49899e-06,-2.15955e-05,8.52412e-07
-0.0131531,0.00535127,-0.0160175,0.999994,0.00148399,0.00325516,-0.000290317,-0.643196,0.1661,-0.738893,-0.112902,-0.0137754,0.00761445,-0.0170932,1,-8.92424e-05,9.29038e-05,8.44363e-05,-4.99677,22.1744,3.36997,-1.64527e-05,1.04016e-05,-1.45601e-05
-0.00540367,-0.00193029,0.0144261,0.999926,0.00829263,0.00277784,0.00843421,-0.643192,0.166107,-0.738895,-0.1129,-0.00477066,-0.0026524,0.0168113,1,-9.31148e-05,9.83429e-05,7.87059e-05,-4.98798,22.1642,3.40382,-7.5641e-06,2.97887e-07,1.91725e-05
-0.00665598,0.00586448,-0.00779213,0.999858,0.000674816,0.0128703,0.0108726,-0.643187,0.166099,-0.7389,-0.11291,-0.00679999,0.00651333,-0.009665,1,-9.5423e-05,0.000102557,9.28479e-05,-4.98976,22.1735,3.37765,-9.66268e-06,9.59003e-06,-6.87956e-06
0.000705315,-0.0122803,0.00637688,0.999773,0.0170573,0.00275943,0.0124676,-0.643184,0.166097,-0.738903,-0.112907,0.00127975,-0.0137195,0.00760582,1,-9.1641e-05,0.000107345,9.29331e-05,-4.98162,22.1534,3.39481,-1.46948e-06,-1.04991e-05,1.03938e-05
0.00909771,0.00673126,0.00737739,0.999893,0.000672311,-0.014164,0.00367601,-0.643194,0.16609,-0.738895,-0.112912,0.00969944,0.00830543,0.00735977,1,-9.05984e-05,9.34992e-05,9.87192e-05,-4.973,22.1752,3.39473,6.98149e-06,1.11104e-05,1.03213e-05
